Día,Fecha,Hora,Local,Marcador,Visitante,Resultado,Sedes,Árbitro,Goles Local,Goles Visitante,Resultado Codificado
Dom,2024-10-27,13:00:00,Sport Boys,1–1,UTC,Empate,Estadio Miguel Grau del Callao,Joel Alarcón,1,1,1
Dom,2024-10-27,13:00:00,Unión Comercio,0–12,Sporting Cristal,Ganó Visitante,Estadio Municipal Carlos Vidaurre García,Jesús Cartagena,0,12,2
Dom,2024-10-27,15:15:00,Sport Huancayo,2–4,Melgar,Ganó Visitante,Estadio Huancayo,Victor Cori,2,4,2
Dom,2024-10-27,18:00:00,Universitario,3–1,Cienciano,Ganó Local,Estadio Monumental U Marathon,Fernando Legario,3,1,0
Sáb,2024-10-26,20:30:00,U César Vallejo,0–2,Mannucci,Ganó Visitante,Estadio Mansiche,Michael Espinoza,0,2,2
Lun,2024-10-28,13:00:00,Alianza Atlético,1–0,CDC Santa Rosa,Ganó Local,Estadio Campeones del 36,Daniel Ureta,1,0,0
Lun,2024-10-28,15:30:00,Comerciantes Unidos,0–0,ADT Tarma,Empate,Estadio Municipal Germán Contreras Jara,Roberto Pérez,0,0,1
Lun,2024-10-28,18:30:00,Cusco,0–1,Atlético Grau,Ganó Visitante,Estadio Inca Garcilaso de la Vega,Jordy Espinoza,0,1,2
Jue,2024-10-31,17:30:00,Cienciano,7–0,Unión Comercio,Ganó Local,Estadio Inca Garcilaso de la Vega,Jordy Espinoza,7,0,0
Vie,2024-11-01,15:00:00,ADT Tarma,1–0,Sport Boys,Ganó Local,Estadio Municipal Unión de Tarma,Julio Quiróz,1,0,0
Sáb,2024-11-02,15:15:00,Atlético Grau,3–1,U César Vallejo,Ganó Local,Estadio Campeones del 36,Joel Alarcón,3,1,0
Sáb,2024-11-02,15:15:00,Mannucci,2–2,Alianza Atlético,Empate,Estadio Mansiche,Jesús Cartagena,2,2,1
Sáb,2024-11-02,15:15:00,UTC,1–1,Sport Huancayo,Empate,Estadio Municipal Germán Contreras Jara,Diego Haro,1,1,1
Dom,2024-11-03,11:00:00,Sporting Cristal,3–0,Comerciantes Unidos,Ganó Local,Estadio Alberto Gallardo,Victor Cori,3,0,0
Dom,2024-11-03,15:00:00,Alianza Lima,1–2,Cusco,Ganó Visitante,Estadio Alejandro Villanueva,Fernando Legario,1,2,2
Dom,2024-11-03,15:00:00,Melgar,1–1,Deportivo Garcilaso,Empate,Estadio de la Universidad Nacional San A...,Michael Espinoza,1,1,1
Dom,2024-11-03,15:00:00,CDC Santa Rosa,0–0,Universitario,Empate,Estadio Los Chankas,Micke Palomino,0,0,1
Vie,2023-02-03,15:30:00,Cusco,0–3,Sport Huancayo,Ganó Visitante,Estadio Inca Garcilaso de la Vega,Jesús Cartagena,0,3,2
Sáb,2023-02-04,13:00:00,Atlético Grau,3–0,Melgar,Ganó Local,Estadio Miguel Grau,Edwin Ordóñez,3,0,0
Sáb,2023-02-04,15:30:00,Universitario,4–0,Cantolao,Ganó Local,Estadio Monumental,Diego Haro,4,0,0
Sáb,2023-02-04,15:30:00,UTC,3–0,Cienciano,Ganó Local,Estadio Héroes de San Ramón,,3,0,0
Dom,2023-02-05,10:00:00,Sporting Cristal,3–0,Alianza Lima,Ganó Local,Estadio Alberto Gallardo,,3,0,0
Sáb,2023-02-04,19:30:00,Deportivo Garcilaso,3–0,Binacional,Ganó Local,Estadio Inca Garcilaso de la Vega,,3,0,0
Lun,2023-02-06,13:00:00,Sport Boys,2–1,Unión Comercio,Ganó Local,Estadio Miguel Grau del Callao,Micke Palomino,2,1,0
Lun,2023-02-06,15:30:00,U César Vallejo,2–2,Alianza Atlético,Empate,Estadio Mansiche,Roberto Pérez,2,2,1
Mar,2023-02-07,13:00:00,Dep Municipal,0–3,Mannucci,Ganó Visitante,Estadio Iván Elías Moreno,,0,3,2
Sáb,2023-02-11,13:00:00,Cantolao,1–2,U César Vallejo,Ganó Visitante,Estadio Iván Elías Moreno,Fernando Legario,1,2,2
Sáb,2023-02-11,15:00:00,Binacional,2–4,Atlético Grau,Ganó Visitante,Estadio Guillermo Briceño Rosamedina,Pablo López,2,4,2
Sáb,2023-02-11,15:30:00,ADT Tarma,1–2,Deportivo Garcilaso,Ganó Visitante,Estadio Municipal Unión de Tarma,Alejandro Villanueva,1,2,2
Vie,2023-02-10,19:00:00,Cienciano,2–0,Cusco,Ganó Local,Estadio Inca Garcilaso de la Vega,Diego Haro,2,0,0
Dom,2023-02-12,11:00:00,Alianza Atlético,2–0,UTC,Ganó Local,Estadio Campeones del 36,Jordy Espinoza,2,0,0
Dom,2023-02-12,13:30:00,Unión Comercio,1–0,Universitario,Ganó Local,Estadio Municipal Carlos Vidaurre García,Kevin Ortega,1,0,0
Dom,2023-02-12,15:00:00,Mannucci,1–1,Sporting Cristal,Empate,Estadio Mansiche,Edwin Ordóñez,1,1,1
Dom,2023-02-12,16:00:00,Alianza Lima,2–0,Sport Boys,Ganó Local,Estadio Alejandro Villanueva,Joel Alarcón,2,0,0
Lun,2023-02-13,15:00:00,Melgar,0–2,Dep Municipal,Ganó Visitante,Estadio de la Universidad Nacional San A...,Michael Espinoza,0,2,2
Vie,2023-02-17,16:00:00,Sporting Cristal,1–0,Melgar,Ganó Local,Estadio Alberto Gallardo,Jesús Cartagena,1,0,0
Sáb,2023-02-18,13:00:00,Sport Huancayo,1–3,Cienciano,Ganó Visitante,Estadio Huancayo,Edwin Ordóñez,1,3,2
Sáb,2023-02-18,15:30:00,Sport Boys,0–1,Mannucci,Ganó Visitante,Estadio Miguel Grau del Callao,Luis Seminario,0,1,2
Vie,2023-02-17,19:00:00,U César Vallejo,3–1,Unión Comercio,Ganó Local,Estadio Mansiche,Michael Espinoza,3,1,0
Dom,2023-02-19,13:00:00,Atlético Grau,1–1,ADT Tarma,Empate,Estadio Miguel Grau,Luis Ciriaco Liñan,1,1,1
Dom,2023-02-19,15:30:00,Universitario,1–2,Alianza Lima,Ganó Visitante,Estadio Monumental,Augusto Menéndez,1,2,2
Dom,2023-02-19,18:00:00,Cusco,2–1,Alianza Atlético,Ganó Local,Estadio Inca Garcilaso de la Vega,Jonathan Zamora,2,1,0
Lun,2023-02-20,15:30:00,Dep Municipal,2–0,Binacional,Ganó Local,Estadio Iván Elías Moreno,Wilfredo Blas,2,0,0
Mié,2023-02-22,15:00:00,UTC,1–0,Cantolao,Ganó Local,Estadio Héroes de San Ramón,Daniel Ureta,1,0,0
Sáb,2023-02-25,13:00:00,Alianza Atlético,4–2,Sport Huancayo,Ganó Local,Estadio Campeones del 36,Pablo López,4,2,0
Sáb,2023-02-25,15:30:00,Deportivo Garcilaso,2–0,Atlético Grau,Ganó Local,Estadio Inca Garcilaso de la Vega,Jordy Espinoza,2,0,0
Dom,2023-02-26,13:00:00,Unión Comercio,1–0,UTC,Ganó Local,Estadio Municipal Carlos Vidaurre García,Fernando Legario,1,0,0
Dom,2023-02-26,15:30:00,ADT Tarma,3–0,Dep Municipal,Ganó Local,Estadio Municipal Unión de Tarma,James Huamaní,3,0,0
Lun,2023-02-27,15:30:00,Cantolao,2–3,Cusco,Ganó Visitante,Estadio Iván Elías Moreno,Jesús Cartagena,2,3,2
Dom,2023-02-26,19:00:00,Mannucci,2–0,Universitario,Ganó Local,Estadio Mansiche,Roberto Pérez,2,0,0
Vie,2023-03-03,16:00:00,Sport Boys,2–2,Binacional,Empate,Estadio Alberto Gallardo,Jasmani Chambi,2,2,1
Sáb,2023-03-04,13:00:00,Sport Huancayo,4–0,Cantolao,Ganó Local,Estadio Huancayo,Sebastián Lozano,4,0,0
Sáb,2023-03-04,16:00:00,Sporting Cristal,0–0,ADT Tarma,Empate,Estadio Alberto Gallardo,Pablo López,0,0,1
Dom,2023-03-05,15:30:00,Universitario,1–0,Melgar,Ganó Local,Estadio Monumental,Diego Haro,1,0,0
Dom,2023-03-05,15:30:00,UTC,0–1,Alianza Lima,Ganó Visitante,Estadio Héroes de San Ramón,Kevin Ortega,0,1,2
Sáb,2023-03-04,19:00:00,U César Vallejo,2–0,Mannucci,Ganó Local,Estadio Mansiche,Augusto Méndez,2,0,0
Lun,2023-03-06,15:00:00,Dep Municipal,0–3,Deportivo Garcilaso,Ganó Visitante,Estadio Iván Elías Moreno,Fernando Legario,0,3,2
Lun,2023-03-06,15:30:00,Cusco,2–1,Unión Comercio,Ganó Local,Estadio Inca Garcilaso de la Vega,Edwin Ordóñez,2,1,0
Vie,2023-03-10,15:30:00,ADT Tarma,1–0,Sport Boys,Ganó Local,Estadio Municipal Unión de Tarma,Wilmer Villanueva,1,0,0
Dom,2023-03-12,11:00:00,Unión Comercio,2–0,Sport Huancayo,Ganó Local,Estadio del IPD,Alejandro Villanueva,2,0,0
Dom,2023-03-12,13:00:00,Atlético Grau,1–1,Dep Municipal,Empate,Estadio Miguel Grau,Diego Haro,1,1,1
Dom,2023-03-12,15:30:00,Cantolao,1–0,Cienciano,Ganó Local,Estadio Miguel Grau del Callao,Julio Quiróz,1,0,0
Dom,2023-03-12,18:00:00,Deportivo Garcilaso,4–4,Sporting Cristal,Empate,Estadio Inca Garcilaso de la Vega,Augusto Menéndez,4,4,1
Sáb,2023-03-11,20:00:00,Alianza Lima,2–0,Cusco,Ganó Local,Estadio Alejandro Villanueva,Kevin Ortega,2,0,0
Lun,2023-03-13,18:00:00,Binacional,1–2,Universitario,Ganó Visitante,Estadio Guillermo Briceño Rosamedina,Joel Alarcón,1,2,2
Vie,2023-03-17,15:30:00,Sport Boys,2–1,Deportivo Garcilaso,Ganó Local,Estadio Miguel Grau del Callao,Italo Gonzáles,2,1,0
Sáb,2023-03-18,13:00:00,Alianza Atlético,2–1,Cantolao,Ganó Local,Estadio Municipal Melanio Coloma Calderó...,Pablo López,2,1,0
Sáb,2023-03-18,15:30:00,UTC,0–0,Melgar,Empate,Estadio Héroes de San Ramón,Kevin Ortega,0,0,1
Sáb,2023-03-18,18:00:00,Cienciano,3–1,Unión Comercio,Ganó Local,Estadio Inca Garcilaso de la Vega,Edwin Ordóñez,3,1,0
Dom,2023-03-19,13:00:00,U César Vallejo,2–0,Binacional,Ganó Local,Estadio Mansiche,David Huaman,2,0,0
Dom,2023-03-19,15:30:00,Sporting Cristal,2–1,Atlético Grau,Ganó Local,Estadio Alberto Gallardo,Hibert Villegas,2,1,0
Dom,2023-03-19,18:00:00,Sport Huancayo,2–1,Alianza Lima,Ganó Local,Estadio Huancayo,Diego Haro,2,1,0
Sáb,2023-03-18,20:00:00,Universitario,3–1,ADT Tarma,Ganó Local,Estadio Monumental,Michael Espinoza,3,1,0
Lun,2023-03-20,15:30:00,Cusco,3–0,Mannucci,Ganó Local,Estadio Inca Garcilaso de la Vega,Alejandro Villanueva,3,0,0
Sáb,2023-03-25,16:00:00,Sporting Cristal,2–0,Cantolao,Ganó Local,Estadio Alberto Gallardo,Roberto Pérez,2,0,0
Vie,2023-03-24,20:30:00,Universitario,3–0,Cienciano,Ganó Local,Estadio Miguel Grau del Callao,Kevin Ortega,3,0,0
Dom,2023-03-26,11:00:00,Dep Municipal,2–0,Unión Comercio,Ganó Local,Estadio Iván Elías Moreno,Sebastián Lozano,2,0,0
Dom,2023-03-26,13:00:00,Atlético Grau,1–2,Alianza Lima,Ganó Visitante,Estadio Miguel Grau,Edwin Ordóñez,1,2,2
Dom,2023-03-26,15:30:00,ADT Tarma,0–0,Melgar,Empate,Estadio Municipal Unión de Tarma,Daniel Ureta,0,0,1
Dom,2023-03-26,16:00:00,Sport Boys,0–1,Alianza Atlético,Ganó Visitante,Estadio Miguel Grau del Callao,Joel Alarcón,0,1,2
Dom,2023-03-26,18:00:00,Deportivo Garcilaso,1–2,Mannucci,Ganó Visitante,Estadio Inca Garcilaso de la Vega,Micke Palomino,1,2,2
Sáb,2023-03-25,20:00:00,U César Vallejo,0–2,Sport Huancayo,Ganó Visitante,Estadio Mansiche,Jordy Espinoza,0,2,2
Lun,2023-03-27,15:00:00,UTC,0–0,Cusco,Empate,Estadio Héroes de San Ramón,Fernando Legario,0,0,1
Vie,2023-03-31,15:00:00,Dep Municipal,1–1,Sporting Cristal,Empate,Estadio Iván Elías Moreno,Micke Palomino,1,1,1
Vie,2023-03-31,15:30:00,ADT Tarma,2–0,U César Vallejo,Ganó Local,Estadio Municipal Unión de Tarma,Jesús Cartagena,2,0,0
Sáb,2023-04-01,15:30:00,Melgar,1–1,Cusco,Empate,Estadio de la Universidad Nacional San A...,Luis Ciriaco Liñan,1,1,1
Vie,2023-03-31,19:30:00,Deportivo Garcilaso,0–0,Universitario,Empate,Estadio Inca Garcilaso de la Vega,Diego Haro,0,0,1
Dom,2023-04-02,13:00:00,Unión Comercio,3–3,Alianza Atlético,Empate,Estadio del IPD,Jordy Espinoza,3,3,1
Dom,2023-04-02,15:00:00,Mannucci,0–0,Sport Huancayo,Empate,Estadio Mansiche,Luis Seminario,0,0,1
Dom,2023-04-02,15:30:00,Atlético Grau,3–0,Sport Boys,Ganó Local,Estadio Miguel Grau,Alejandro Villanueva,3,0,0
Dom,2023-04-02,18:00:00,Binacional,1–1,UTC,Empate,Estadio Guillermo Briceño Rosamedina,Augusto Menéndez,1,1,1
Sáb,2023-04-01,19:00:00,Alianza Lima,2–0,Cienciano,Ganó Local,Estadio Alejandro Villanueva,Joel Alarcón,2,0,0
Vie,2023-04-07,15:30:00,Cusco,2–1,Binacional,Ganó Local,Estadio Inca Garcilaso de la Vega,Jesús Cartagena,2,1,0
Sáb,2023-04-08,13:00:00,Sport Boys,0–2,Dep Municipal,Ganó Visitante,Estadio Miguel Grau del Callao,Jonathan Zamora,0,2,2
Sáb,2023-04-08,15:30:00,UTC,1–0,ADT Tarma,Ganó Local,Estadio Héroes de San Ramón,Alejandro Villanueva,1,0,0
Sáb,2023-04-08,18:00:00,Cienciano,1–0,Mannucci,Ganó Local,Estadio Inca Garcilaso de la Vega,Luis Ciriaco Liñan,1,0,0
Dom,2023-04-09,13:00:00,Alianza Atlético,0–1,Alianza Lima,Ganó Visitante,Estadio Municipal Melanio Coloma Calderó...,Augusto Menéndez,0,1,2
Dom,2023-04-09,15:30:00,Sport Huancayo,1–1,Melgar,Empate,Estadio Huancayo,Pablo López,1,1,1
Dom,2023-04-09,18:00:00,Universitario,2–1,Atlético Grau,Ganó Local,Estadio Monumental,Daniel Ureta,2,1,0
Lun,2023-04-10,15:30:00,Cantolao,1–2,Unión Comercio,Ganó Visitante,Estadio Miguel Grau del Callao,Fernando Legario,1,2,2
Lun,2023-04-10,18:00:00,U César Vallejo,3–0,Deportivo Garcilaso,Ganó Local,Estadio Mansiche,Wilfredo Blas,3,0,0
Vie,2023-04-14,16:00:00,Sporting Cristal,1–1,Sport Boys,Empate,Estadio Alberto Gallardo,Diego Haro,1,1,1
Sáb,2023-04-15,13:00:00,Atlético Grau,1–1,U César Vallejo,Empate,Estadio Miguel Grau,Augusto Menéndez,1,1,1
Vie,2023-04-14,19:00:00,Melgar,1–0,Cienciano,Ganó Local,Estadio de la Universidad Nacional San A...,Jesús Cartagena,1,0,0
Dom,2023-04-16,13:00:00,Deportivo Garcilaso,2–2,UTC,Empate,Estadio Inca Garcilaso de la Vega,David Huaman,2,2,1
Dom,2023-04-16,15:30:00,ADT Tarma,0–2,Cusco,Ganó Visitante,Estadio Municipal Unión de Tarma,Joel Alarcón,0,2,2
Dom,2023-04-16,16:00:00,Dep Municipal,1–2,Universitario,Ganó Visitante,Estadio Iván Elías Moreno,Edwin Ordóñez,1,2,2
Dom,2023-04-16,18:00:00,Binacional,5–3,Sport Huancayo,Ganó Local,Estadio Guillermo Briceño Rosamedina,Jordy Espinoza,5,3,0
Sáb,2023-04-15,19:00:00,Alianza Lima,3–0,Cantolao,Ganó Local,Estadio Alejandro Villanueva,Kevin Ortega,3,0,0
Dom,2023-04-16,19:00:00,Mannucci,1–0,Alianza Atlético,Ganó Local,Estadio Mansiche,Fernando Legario,1,0,0
Vie,2023-04-21,15:30:00,UTC,1–1,Atlético Grau,Empate,Estadio Héroes de San Ramón,Wilfredo Blas,1,1,1
Sáb,2023-04-22,13:00:00,Cantolao,0–2,Mannucci,Ganó Visitante,Estadio Miguel Grau del Callao,Joel Alarcón,0,2,2
Sáb,2023-04-22,15:30:00,Sport Huancayo,1–3,ADT Tarma,Ganó Visitante,Estadio Huancayo,Sebastián Lozano,1,3,2
Sáb,2023-04-22,18:00:00,Cienciano,1–1,Binacional,Empate,Estadio Inca Garcilaso de la Vega,David Huaman,1,1,1
Dom,2023-04-23,13:00:00,Unión Comercio,1–3,Alianza Lima,Ganó Visitante,Estadio del IPD,Diego Haro,1,3,2
Dom,2023-04-23,15:30:00,Cusco,2–1,Deportivo Garcilaso,Ganó Local,Estadio Inca Garcilaso de la Vega,Michael Espinoza,2,1,0
Lun,2023-04-24,13:00:00,Alianza Atlético,3–3,Melgar,Empate,Estadio Municipal Melanio Coloma Calderó...,Italo Gonzáles,3,3,1
Lun,2023-04-24,18:00:00,U César Vallejo,1–1,Dep Municipal,Empate,Estadio Mansiche,Wilmer Villanueva,1,1,1
Lun,2023-04-24,20:30:00,Universitario,2–0,Sporting Cristal,Ganó Local,Estadio Monumental,Kevin Ortega,2,0,0
Vie,2023-04-28,15:30:00,Sporting Cristal,1–1,U César Vallejo,Empate,Estadio Alberto Gallardo,Jordy Espinoza,1,1,1
Sáb,2023-04-29,13:00:00,Atlético Grau,3–0,Cusco,Ganó Local,Estadio Miguel Grau,Kevin Ortega,3,0,0
Sáb,2023-04-29,15:00:00,Sport Boys,0–3,Universitario,Ganó Visitante,Estadio Miguel Grau del Callao,Joel Alarcón,0,3,2
Sáb,2023-04-29,15:30:00,Deportivo Garcilaso,1–1,Sport Huancayo,Empate,Estadio Inca Garcilaso de la Vega,Micke Palomino,1,1,1
Sáb,2023-04-29,18:00:00,Melgar,5–0,Cantolao,Ganó Local,Estadio de la Universidad Nacional San A...,Roberto Pérez,5,0,0
Dom,2023-04-30,13:00:00,Binacional,4–2,Alianza Atlético,Ganó Local,Estadio Guillermo Briceño Rosamedina,Daniel Ureta,4,2,0
Dom,2023-04-30,15:00:00,Dep Municipal,2–0,UTC,Ganó Local,Estadio Iván Elías Moreno,Luis Seminario,2,0,0
Dom,2023-04-30,15:30:00,ADT Tarma,3–4,Cienciano,Ganó Visitante,Estadio Municipal Unión de Tarma,Pablo López,3,4,2
Dom,2023-04-30,19:00:00,Mannucci,2–0,Unión Comercio,Ganó Local,Estadio Mansiche,Sebastián Lozano,2,0,0
Vie,2023-05-05,13:00:00,Cantolao,1–0,Binacional,Ganó Local,Estadio Iván Elías Moreno,Pablo López,1,0,0
Vie,2023-05-05,15:30:00,Cusco,1–0,Dep Municipal,Ganó Local,Estadio Inca Garcilaso de la Vega,Alejandro Villanueva,1,0,0
Sáb,2023-05-06,13:00:00,Alianza Atlético,1–1,ADT Tarma,Empate,Estadio Campeones del 36,Jonathan Zamora,1,1,1
Sáb,2023-05-06,15:30:00,Sport Huancayo,1–0,Atlético Grau,Ganó Local,Estadio Huancayo,Edwin Ordóñez,1,0,0
Dom,2023-05-07,15:15:00,UTC,1–1,Sporting Cristal,Empate,Estadio Héroes de San Ramón,Roberto Pérez,1,1,1
Dom,2023-05-07,17:30:00,U César Vallejo,2–0,Sport Boys,Ganó Local,Estadio Mansiche,Victor Cori,2,0,0
Sáb,2023-05-06,19:00:00,Cienciano,0–0,Deportivo Garcilaso,Empate,Estadio Inca Garcilaso de la Vega,Joel Alarcón,0,0,1
Lun,2023-05-08,13:00:00,Unión Comercio,1–1,Melgar,Empate,Estadio Municipal Carlos Vidaurre García,Luis Ciriaco Liñan,1,1,1
Dom,2023-05-07,20:00:00,Alianza Lima,3–0,Mannucci,Ganó Local,Estadio Alejandro Villanueva,Jordy Espinoza,3,0,0
Mié,2023-05-10,15:30:00,Cienciano,5–2,Alianza Atlético,Ganó Local,Estadio Inca Garcilaso de la Vega,Wilfredo Blas,5,2,0
Vie,2023-05-12,13:00:00,Sport Huancayo,5–1,UTC,Ganó Local,Estadio Huancayo,Fernando Legario,5,1,0
Vie,2023-05-12,15:30:00,Melgar,2–0,Sport Boys,Ganó Local,Estadio de la Universidad Nacional San A...,Roberto Pérez,2,0,0
Vie,2023-05-12,18:00:00,Binacional,1–0,ADT Tarma,Ganó Local,Estadio Guillermo Briceño Rosamedina,Joel Alarcón,1,0,0
Jue,2023-05-11,20:00:00,Alianza Lima,2–0,U César Vallejo,Ganó Local,Estadio Alejandro Villanueva,Diego Haro,2,0,0
Sáb,2023-05-13,13:00:00,Unión Comercio,1–6,Sporting Cristal,Ganó Visitante,Estadio Municipal Carlos Vidaurre García,Jesús Cartagena,1,6,2
Dom,2023-05-14,13:00:00,Alianza Atlético,3–1,Universitario,Ganó Local,Estadio Campeones del 36,Augusto Menéndez,3,1,0
Dom,2023-05-14,15:30:00,Cienciano,1–1,U César Vallejo,Empate,Estadio Inca Garcilaso de la Vega,Jonathan Zamora,1,1,1
Sáb,2023-05-13,19:00:00,Mannucci,1–0,Atlético Grau,Ganó Local,Estadio Mansiche,Diego Haro,1,0,0
Lun,2023-05-15,15:30:00,Melgar,2–4,Deportivo Garcilaso,Ganó Visitante,Estadio de la Universidad Nacional San A...,David Huaman,2,4,2
Mar,2023-05-16,15:30:00,Cantolao,0–0,Sport Boys,Empate,Estadio Iván Elías Moreno,Daniel Ureta,0,0,1
Lun,2023-05-15,20:00:00,Alianza Lima,2–1,Dep Municipal,Ganó Local,Estadio Alejandro Villanueva,Edwin Ordóñez,2,1,0
Mié,2023-05-17,15:00:00,Mannucci,0–1,UTC,Ganó Visitante,Estadio Mansiche,Jordy Espinoza,0,1,2
Mié,2023-05-17,19:00:00,Binacional,0–1,Sporting Cristal,Ganó Visitante,Estadio de la Universidad Nacional San A...,Augusto Menéndez,0,1,2
Vie,2023-05-19,18:30:00,Melgar,2–1,Alianza Lima,Ganó Local,Estadio de la Universidad Nacional San A...,Diego Haro,2,1,0
Sáb,2023-05-20,13:00:00,ADT Tarma,1–1,Cantolao,Empate,Estadio Municipal Unión de Tarma,Fernando Legario,1,1,1
Sáb,2023-05-20,18:00:00,Deportivo Garcilaso,3–2,Alianza Atlético,Ganó Local,Estadio Inca Garcilaso de la Vega,Daniel Ureta,3,2,0
Vie,2023-05-19,20:30:00,Universitario,4–0,U César Vallejo,Ganó Local,Estadio Monumental,Kevin Ortega,4,0,0
Dom,2023-05-21,13:00:00,Atlético Grau,4–0,Cienciano,Ganó Local,Estadio Miguel Grau,Luis Ciriaco Liñan,4,0,0
Dom,2023-05-21,15:00:00,Dep Municipal,1–2,Sport Huancayo,Ganó Visitante,Estadio Iván Elías Moreno,Joel Alarcón,1,2,2
Sáb,2023-05-20,20:30:00,Sporting Cristal,3–2,Cusco,Ganó Local,Estadio Alberto Gallardo,Edwin Ordóñez,3,2,0
Lun,2023-05-22,15:30:00,Sport Boys,3–2,UTC,Ganó Local,Estadio Miguel Grau del Callao,Michael Espinoza,3,2,0
Lun,2023-05-22,20:00:00,Binacional,5–0,Unión Comercio,Ganó Local,Estadio Guillermo Briceño Rosamedina,Roberto Pérez,5,0,0
Vie,2023-05-26,15:00:00,Cantolao,1–1,Deportivo Garcilaso,Empate,Estadio Iván Elías Moreno,Luis Seminario,1,1,1
Sáb,2023-05-27,13:00:00,Alianza Atlético,3–2,Atlético Grau,Ganó Local,Estadio Campeones del 36,Michael Espinoza,3,2,0
Sáb,2023-05-27,15:30:00,Cusco,2–1,Sport Boys,Ganó Local,Estadio Inca Garcilaso de la Vega,Jonathan Zamora,2,1,0
Vie,2023-05-26,19:00:00,Cienciano,1–0,Dep Municipal,Ganó Local,Estadio Inca Garcilaso de la Vega,Roberto Pérez,1,0,0
Dom,2023-05-28,13:00:00,Unión Comercio,4–3,ADT Tarma,Ganó Local,Estadio Municipal Carlos Vidaurre García,Kevin Ortega,4,3,0
Dom,2023-05-28,15:30:00,UTC,1–0,Universitario,Ganó Local,Estadio Héroes de San Ramón,Diego Haro,1,0,0
Dom,2023-05-28,18:00:00,Sport Huancayo,1–2,Sporting Cristal,Ganó Visitante,Estadio Huancayo,Micke Palomino,1,2,2
Dom,2023-05-28,18:30:00,Mannucci,1–2,Melgar,Ganó Visitante,Estadio Mansiche,Alejandro Villanueva,1,2,2
Dom,2023-05-28,20:30:00,Alianza Lima,6–1,Binacional,Ganó Local,Estadio Alejandro Villanueva,Joel Alarcón,6,1,0
Mié,2023-05-31,19:00:00,Melgar,2–2,U César Vallejo,Empate,Estadio de la Universidad Nacional San A...,Edwin Ordóñez,2,2,1
Jue,2023-06-01,20:00:00,Sporting Cristal,4–2,Cienciano,Ganó Local,Estadio Nacional,Diego Haro,4,2,0
Sáb,2023-06-03,15:00:00,Dep Municipal,2–1,Alianza Atlético,Ganó Local,Estadio Iván Elías Moreno,David Huaman,2,1,0
Sáb,2023-06-03,18:00:00,Binacional,3–0,Mannucci,Ganó Local,Estadio Guillermo Briceño Rosamedina,Edwin Ordóñez,3,0,0
Vie,2023-06-02,20:00:00,ADT Tarma,2–1,Alianza Lima,Ganó Local,Estadio Huancayo,Michael Espinoza,2,1,0
Vie,2023-06-02,20:30:00,Universitario,1–0,Cusco,Ganó Local,Estadio Monumental,Kevin Ortega,1,0,0
Dom,2023-06-04,13:00:00,Atlético Grau,3–0,Cantolao,Ganó Local,Estadio Municipal Bernales,Daniel Ureta,3,0,0
Dom,2023-06-04,15:30:00,Sport Boys,1–0,Sport Huancayo,Ganó Local,Estadio Iván Elías Moreno,Pablo López,1,0,0
Dom,2023-06-04,18:00:00,U César Vallejo,3–1,UTC,Ganó Local,Estadio Mansiche,Jordy Espinoza,3,1,0
Sáb,2023-06-03,20:30:00,Deportivo Garcilaso,2–2,Unión Comercio,Empate,Estadio Inca Garcilaso de la Vega,Alejandro Villanueva,2,2,1
Sáb,2023-06-10,13:00:00,Unión Comercio,2–2,Atlético Grau,Empate,Estadio del IPD,Joel Alarcón,2,2,1
Sáb,2023-06-10,15:30:00,Cantolao,0–1,Dep Municipal,Ganó Visitante,Estadio Municipal Segundo Aranda Torres,Micke Palomino,0,1,2
Sáb,2023-06-10,18:00:00,Melgar,2–1,Binacional,Ganó Local,Estadio de la Universidad Nacional San A...,Michael Espinoza,2,1,0
Vie,2023-06-09,19:00:00,Cienciano,0–1,Sport Boys,Ganó Visitante,Estadio Inca Garcilaso de la Vega,Jordy Espinoza,0,1,2
Dom,2023-06-11,13:00:00,Alianza Atlético,0–0,Sporting Cristal,Empate,Estadio Campeones del 36,Edwin Ordóñez,0,0,1
Dom,2023-06-11,15:30:00,Cusco,2–0,U César Vallejo,Ganó Local,Estadio Inca Garcilaso de la Vega,Wilfredo Blas,2,0,0
Dom,2023-06-11,18:00:00,Sport Huancayo,1–0,Universitario,Ganó Local,Estadio Huancayo,Roberto Pérez,1,0,0
Sáb,2023-06-10,20:00:00,Mannucci,1–1,ADT Tarma,Empate,Estadio Mansiche,David Huaman,1,1,1
Sáb,2023-06-10,20:30:00,Alianza Lima,3–2,Deportivo Garcilaso,Ganó Local,Estadio Alejandro Villanueva,Fernando Legario,3,2,0
Jue,2023-06-22,15:00:00,Cantolao,0–2,Sporting Cristal,Ganó Visitante,Estadio Municipal Segundo Aranda Torres,Joel Alarcón,0,2,2
Jue,2023-06-22,18:00:00,Melgar,4–0,ADT Tarma,Ganó Local,Estadio de la Universidad Nacional San A...,Jonathan Zamora,4,0,0
Jue,2023-06-22,19:00:00,Cienciano,1–1,Universitario,Empate,Estadio Inca Garcilaso de la Vega,Fernando Legario,1,1,1
Sáb,2023-06-24,15:30:00,Sport Huancayo,2–0,U César Vallejo,Ganó Local,Estadio Huancayo,Kevin Ortega,2,0,0
